iter	Passed	Remaining
0	4	4596
1	9	4819
2	13	4591
3	16	4152
4	20	4024
5	23	3961
6	27	3905
7	31	3859
8	33	3682
9	36	3658
10	41	3715
11	44	3701
12	48	3677
13	50	3575
14	54	3576
15	57	3508
16	60	3500
17	64	3499
18	67	3462
19	71	3480
20	74	3471
21	78	3473
22	81	3449
23	85	3459
24	88	3456
25	92	3460
26	96	3475
27	100	3496
28	104	3504
29	108	3516
30	113	3537
31	116	3533
32	120	3540
33	124	3547
34	129	3567
35	132	3559
36	137	3570
37	141	3575
38	146	3607
39	150	3606
40	153	3599
41	158	3612
42	161	3604
43	165	3602
44	169	3595
45	173	3608
46	177	3599
47	181	3604
48	183	3571
49	189	3609
50	195	3643
51	199	3643
52	205	3667
53	208	3659
54	212	3658
55	216	3648
56	221	3656
57	224	3650
58	228	3636
59	231	3630
60	235	3630
61	240	3632
62	243	3624
63	247	3621
64	251	3617
65	256	3629
66	260	3621
67	264	3628
68	268	3619
69	272	3617
70	275	3609
71	280	3609
72	283	3601
73	288	3605
74	291	3598
75	295	3592
76	298	3579
77	303	3587
78	307	3583
79	311	3577
80	314	3572
81	319	3573
82	323	3571
83	326	3563
84	330	3558
85	334	3558
86	339	3563
87	343	3555
88	346	3551
89	351	3551
90	355	3550
91	359	3544
92	362	3537
93	367	3541
94	370	3534
95	374	3528
96	378	3521
97	383	3527
98	386	3517
99	390	3512
100	393	3506
101	398	3508
102	402	3501
103	405	3496
104	408	3481
105	411	3474
106	417	3482
107	421	3477
108	424	3470
109	429	3474
110	432	3467
111	437	3466
112	440	3458
113	445	3461
114	447	3445
115	451	3443
116	455	3436
117	460	3439
118	464	3437
119	468	3436
120	472	3430
121	476	3429
122	481	3430
123	484	3423
124	488	3418
125	492	3412
126	495	3408
127	499	3402
128	503	3396
129	507	3397
130	512	3398
131	515	3391
132	519	3386
133	523	3380
134	527	3378
135	530	3372
136	534	3367
137	538	3364
138	543	3363
139	547	3361
140	551	3357
141	555	3355
142	561	3365
143	565	3360
144	567	3347
145	571	3341
146	575	3340
147	579	3338
148	583	3332
149	587	3326
150	591	3326
151	596	3325
152	599	3320
153	603	3315
154	610	3327
155	614	3327
156	619	3326
157	625	3333
158	631	3338
159	635	3338
160	641	3345
161	646	3342
162	649	3337
163	654	3338
164	659	3337
165	663	3332
166	667	3327
167	672	3331
168	676	3327
169	680	3321
170	684	3317
171	689	3317
172	693	3315
173	697	3309
174	702	3311
175	707	3311
176	710	3304
177	714	3300
178	719	3298
179	723	3294
180	726	3288
181	731	3288
182	741	3311
183	752	3339
184	761	3353
185	769	3365
186	776	3376
187	783	3384
188	787	3377
189	791	3372
190	794	3366
191	799	3362
192	802	3356
193	806	3351
194	809	3342
195	813	3337
196	817	3334
197	822	3329
198	825	3323
199	829	3318
200	834	3316
201	839	3314
202	842	3309
203	846	3304
204	850	3300
205	854	3293
206	858	3288
207	862	3282
208	866	3281
209	870	3274
210	874	3270
211	879	3269
212	883	3264
213	887	3258
214	891	3253
215	895	3249
216	899	3244
217	903	3241
218	907	3237
219	913	3240
220	918	3236
221	925	3243
222	934	3255
223	942	3265
224	951	3275
225	958	3282
226	967	3294
227	975	3304
228	983	3312
229	992	3323
230	997	3319
231	1001	3313
232	1009	3323
233	1014	3321
234	1018	3314
235	1021	3308
236	1026	3304
237	1030	3298
238	1034	3292
239	1037	3286
240	1041	3280
241	1045	3275
242	1049	3268
243	1052	3261
244	1056	3255
245	1060	3251
246	1064	3244
247	1067	3238
248	1070	3228
249	1074	3223
250	1078	3218
251	1082	3212
252	1086	3206
253	1090	3203
254	1098	3208
255	1105	3212
256	1108	3205
257	1112	3199
258	1115	3191
259	1118	3184
260	1123	3179
261	1126	3173
262	1130	3166
263	1133	3160
264	1137	3155
265	1141	3148
266	1144	3142
267	1148	3136
268	1152	3131
269	1156	3125
270	1159	3119
271	1163	3113
272	1168	3111
273	1173	3110
274	1177	3104
275	1182	3101
276	1185	3095
277	1189	3088
278	1192	3082
279	1196	3076
280	1200	3070
281	1203	3065
282	1207	3059
283	1211	3053
284	1214	3047
285	1218	3041
286	1221	3035
287	1225	3029
288	1229	3024
289	1233	3019
290	1236	3013
291	1240	3007
292	1244	3002
293	1247	2996
294	1251	2990
295	1255	2984
296	1259	2980
297	1262	2974
298	1266	2968
299	1269	2963
300	1273	2958
301	1277	2952
302	1280	2944
303	1283	2939
304	1287	2934
305	1291	2928
306	1294	2922
307	1298	2917
308	1302	2912
309	1305	2906
310	1309	2900
311	1312	2895
312	1316	2890
313	1320	2884
314	1323	2878
315	1327	2873
316	1331	2867
317	1334	2862
318	1338	2856
319	1341	2851
320	1345	2846
321	1349	2840
322	1352	2835
323	1356	2829
324	1359	2823
325	1363	2819
326	1367	2814
327	1370	2808
328	1374	2803
329	1378	2799
330	1382	2793
331	1385	2788
332	1389	2782
333	1393	2777
334	1397	2774
335	1401	2769
336	1404	2763
337	1408	2759
338	1412	2754
339	1416	2749
340	1419	2743
341	1422	2737
342	1426	2732
343	1429	2726
344	1433	2721
345	1437	2716
346	1440	2711
347	1444	2706
348	1448	2701
349	1452	2697
350	1456	2692
351	1460	2689
352	1464	2684
353	1469	2681
354	1473	2676
355	1477	2671
356	1480	2666
357	1484	2662
358	1488	2656
359	1491	2651
360	1495	2646
361	1499	2641
362	1502	2636
363	1506	2631
364	1509	2626
365	1513	2621
366	1517	2616
367	1520	2611
368	1524	2606
369	1527	2601
370	1531	2596
371	1535	2591
372	1538	2586
373	1542	2581
374	1548	2580
375	1552	2575
376	1555	2570
377	1558	2563
378	1561	2558
379	1565	2553
380	1568	2548
381	1572	2544
382	1576	2539
383	1580	2534
384	1583	2529
385	1587	2525
386	1591	2520
387	1594	2515
388	1598	2510
389	1601	2505
390	1605	2500
391	1609	2495
392	1612	2491
393	1616	2485
394	1620	2482
395	1624	2477
396	1627	2472
397	1631	2467
398	1635	2463
399	1638	2458
400	1642	2453
401	1645	2448
402	1649	2443
403	1653	2438
404	1656	2434
405	1660	2429
406	1664	2425
407	1670	2423
408	1673	2418
409	1677	2413
410	1680	2408
411	1684	2404
412	1688	2399
413	1691	2394
414	1695	2390
415	1699	2385
416	1702	2380
417	1706	2376
418	1710	2371
419	1713	2366
420	1717	2362
