,지하철역수,버스정류장수,유동인구비율,복지시설,의료기관,도서관,면적,공원이름,입지지수
0,0.5,0.19999999999999998,0.1869770809537324,0.25,0.20202020202020204,0.5,0.1394013888184905,이 수,0.284687976284474
1,0.0,0.28,0.1869770809537324,0.0,0.32323232323232326,1.0,0.02968979674590702,백 합1,0.1366728247693225
2,0.0,0.34,0.1869770809537324,0.0,0.33333333333333337,0.5,0.019957929950833786,아리수,0.13437989547639317
3,0.5,0.46,0.425842727025961,0.5,0.4545454545454546,0.5,0.022137462618480402,등 서,0.477694590872076
4,0.0,0.22,0.425842727025961,0.0,0.12121212121212122,0.5,0.03657053069086115,백 석,0.13136125753874262
5,0.5,0.36000000000000004,0.425842727025961,0.5,0.3434343434343435,0.5,0.03369405443762988,등마루,0.4499168130942982
6,0.5,0.30000000000000004,0.425842727025961,0.0,0.21212121212121213,1.0,0.0416645547164073,도 림,0.268724893902379
7,0.0,0.0,0.425842727025961,0.0,0.11111111111111112,0.5,0.018868163617010478,능 안,0.08665418683167193
8,0.0,0.6,0.425842727025961,0.25,0.494949494949495,1.0,0.13771605251153124,한마음,0.33602287370035877
9,0.5,0.7,0.425842727025961,0.5,0.6161616161616162,1.0,0.1087738861574332,새나라,0.5520077221852073
10,0.0,0.5399999999999999,0.425842727025961,0.25,0.393939393939394,1.0,0.10674641390845961,백 합2,0.31695216662965175
11,0.0,0.58,0.425842727025961,0.0,0.4444444444444445,0.5,0.10642962136955751,채송화,0.22598752016500523
12,0.0,0.5399999999999999,0.425842727025961,0.25,0.3535353535353536,1.0,0.10559328906685587,푸르매,0.3141238838013689
13,0.5,0.5,0.425842727025961,0.0,0.4747474747474748,0.5,0.10907800699477922,새 벗,0.3121087322862174
14,0.0,0.74,0.425842727025961,0.0,0.5252525252525253,0.5,0.11271478534137562,코끼리,0.26364408582157095
15,0.5,0.48000000000000004,1.0,0.25,0.797979797979798,1.0,0.016219777991788725,구 름,0.5193585858585859
16,0.5,0.36000000000000004,1.0,0.25,0.8585858585858587,1.0,0.44528359268082507,볏 골,0.4996010101010101
17,0.5,0.4,1.0,0.0,0.7777777777777778,0.5,0.041309747072836925,노 을,0.3994444444444445
18,0.0,0.22,1.0,0.25,0.30303030303030304,0.5,0.13938871711693446,까치산,0.3177121212121212
19,0.0,0.44,1.0,0.5,0.32323232323232326,1.0,0.04827918292868365,비둘기1,0.4656262626262626
