호선,지하철역이름,위도,경도
02호선,잠실나루,37.520733,127.10379
02호선,잠실,37.51395,127.102234
02호선,잠실새내,37.511687,127.086162
02호선,종합운동장,37.510997,127.073642
03호선,가락시장,37.492522,127.118234
03호선,경찰병원,37.495918,127.12454
03호선,오금,37.502162,127.128111
05호선,올림픽공원,37.516078,127.130848
05호선,방이,37.508857,127.126133
05호선,오금,37.502162,127.128111
05호선,개롱,37.498079,127.13482
05호선,거여,37.493105,127.14415
05호선,마천,37.49499,127.152781
08호선,몽촌토성,37.517409,127.112359
08호선,잠실,37.51395,127.102234
08호선,신흥,37.440918,127.147564
08호선,수진,37.437428,127.140722
08호선,모란,37.43213,127.129087
08호선,석촌,37.505431,127.106979
08호선,송파,37.499703,127.112183
08호선,가락시장,37.492522,127.118234
08호선,문정,37.485855,127.1225
08호선,장지,37.478703,127.126191
08호선,복정,37.470047,127.126662
09호선,종합운동장,37.510997,127.073642
09호선,삼전,127.08,37.5047
09호선,석촌고분,127.097,37.5027
09호선,석촌,37.505431,127.106979
09호선,송파나루,127.1102,37.5108
09호선,한성백제,127.1163,37.5157
09호선,올림픽공원,37.516078,127.130848
분당선,복정,37.470047,127.126662
