,공원이름,주소,위도,경도,면적
0,이 수,염창동 281-3외 1,37.5482273,126.8743884,1805.1
1,백 합1,염창동 267-24,37.5511175,126.8694446,939.3
2,아리수,염창동 299-1외 1,37.5518186,126.8738873,862.5
3,등 서,등촌동 639-2,37.559193,126.8547265,879.7
4,백 석,등촌동 646-41,37.5525628,126.8634439,993.6
5,등마루,등촌동 641-5,37.5560031,126.8574,970.9
6,도 림,등촌동 635-1,37.5555649,126.8628709,1033.8
7,능 안,등촌동 517-1,37.5465989,126.8598939,853.9
8,한마음,등촌동 690-3,37.5604596,126.843237,1791.8
9,새나라,등촌동 707-2,37.5615284,126.8520252,1563.4
10,백 합2,등촌동 695-4,37.5592351,126.8449854,1547.4
11,채송화,등촌동 694-1,37.562723,126.8460091,1544.9
12,푸르매,등촌동 705-3,37.5590299,126.847508,1538.3
13,새 벗,등촌동 688-3,37.5606586,126.84029,1565.8
14,코끼리,등촌동 702-1,37.5631866,126.8485453,1594.5
15,구 름,화곡동 98-22,37.5433387,126.8441161,833
16,볏 골,화곡동 98-99,37.541439,126.8443536,4219
17,노 을,화곡동 105-194,37.5398149,126.8439385,1031
18,까치산,화곡동 102-206,37.5382712,126.8444681,1805
19,비둘기1,화곡동 61-96,37.5413239,126.8469591,1086
20,큰 별,화곡동 46-41,37.5444447,126.8489513,1067
21,꿈돌이,화곡동 24-128,37.5458702,126.8453625,1507
22,소나무,화곡동 23-31,37.548623,126.8470379,942
24,박 장,화곡동 56-25,37.5406995,126.849087,929
26,한 글,화곡동 56-3,37.5384851,126.8505037,965
27,효 심,화곡동 922-10,37.5295283,126.8406783,1056.5
28,버 들,화곡동 424-45,37.5310673,126.8412326,1087.2
29,필 마,화곡동 355-12,37.5314569,126.8387986,1615.5
30,다 운,화곡동 346-26,37.5320586,126.8446534,1290.6
31,호돌이,화곡동 906-26,37.5281877,126.84603,811.6
32,곰돌이1,화곡동 900-46,37.5295202,126.845007,1006.9
33,솔뫼,화곡동 379-32,37.537954,126.8385914,1981.5
34,월정,화곡동 372-26,37.5351479,126.8359941,1181.5
35,초롱,화곡동 1088-16,37.5380407,126.8362298,946
36,은행,화곡동 369-11,37.5357789,126.8405147,1123.6
37,까치,화곡동 354-14,37.5333876,126.8418948,1163.6
38,골 말,화곡동 865-1,37.533211,126.8561276,977.9
39,뜸부기,화곡동 845-19,37.5300976,126.8569343,998.4
40,하마터,화곡동 883-3,37.5300684,126.8537386,1026.8
41,바탕골,화곡동 1016-34,37.5445438,126.8347119,976.6
42,미리내,화곡동 1008-32,37.5476464,126.8347519,967.5
43,수 명,화곡동 1044-31,37.5408576,126.834337,984.9
45,천 사,화곡동 1139-1,37.5469128,126.8330025,2395.2
46,두 레,화곡동 792-9,37.5310668,126.8594131,986.1
47,달 빛,화곡동 783-1,37.5311602,126.8629326,976.2
48,무지개1,화곡동 806-10,37.5339287,126.8613032,976.2
49,능 골,화곡동 468-1,37.5366928,126.8553185,997.2
50,종달새,화곡동 819-5,37.5352999,126.8580214,991.4
51,역 말,화곡동 978-18,37.5497264,126.8489436,982.1
52,새 말,화곡동 994-5,37.5519928,126.8464756,969.6
54,백 연,화곡동 980-2외 1,37.5506644,126.8519033,1107.4
55,배다리,화곡동 341-24,37.5320726,126.8483031,1630.1
56,안 골,화곡동 155-1,37.5359583,126.8507496,2381.8
57,대 무,화곡동 409-84,37.5379604,126.8475144,946
58,모 태,화곡동 892-17,37.5294579,126.8495154,1003.4
59,더부리,화곡동 339-19,37.5348273,126.8467604,1263.7
60,화곡2-1(가칭),화곡동 1159-2,37.5501592,126.8386624,2438.3
61,화곡2-2(가칭),화곡동 1159-3,37.5486817,126.8386875,2438.2
62,범바위,화곡동 1061-36,37.5431912,126.8413788,973.6
64,화곡3-1,화곡동 1165-2,37.5381184,126.8471024,4504.2
65,화곡3-2,화곡동 1165-6,37.5381184,126.8471024,3466.8
66,나들이,가양동 1459-1,37.5717881,126.8442436,1500
67,아 름,가양동 1465,37.5686956,126.8487412,1956
68,꽃동네,가양동 1461-1,37.570168,126.8468168,1510.7
69,가양(가칭),가양동 1462-2,37.5697553,126.8447901,1500
70,엄 지,가양동 1474-1,37.5657677,126.8547187,1511.6
71,무지개2,가양동 1478-1,37.5650766,126.8516584,1500
72,풀피리,가양동 1481-1,37.5635734,126.8546889,1562
73,곰돌이2,가양동 1482-1,37.5623972,126.8575298,1612.3
74,비둘기2,가양동 1489-1,37.5594808,126.8628792,1622.8
75,진달래,가양동 1486-1,37.5625036,126.8608072,1500
76,발 음,발산동 697,37.5472236,126.8210719,913.6
77,광 명,발산동 221-1,37.5468604,126.8229159,1739
78,수정,내발산동 741-2,37.5472236,126.8210719,4000.3
79,은행나무,내발산동 753-1,37.5472236,126.8210719,1764.4
80,신광명,내발산동 761,37.5546422,126.834636,8596.6
81,원 당,발산동 650,37.5472236,126.8210719,991.7
82,가 곡,발산동 657-2,37.5472236,126.8210719,2747.9
83,꿈 빛,발산동 657-3,37.5472236,126.8210719,1500
84,활주로,공항동 1341,37.554193,126.8159806,2116.4
85,다 솔,공항동 1361,37.5545272,126.8184018,2492.7
86,장 미,공항동 668,37.5568067,126.813807,1661.5
88,쌈 지,방화동 266-24외 2,37.5711949,126.8150402,3973
93,도레미,방화동 산89-9외 8,37.5719766,126.819411,6649
94,들 꽃,방화동 890-1,37.5705761,126.8211832,705
97,내 촌,개화동 551-26,37.5700705,126.8086895,1149
98,신대부석,개화동 411,37.5828923,126.7988525,1132
101,새싹교통,방화동 583,37.5694683,126.8094654,4939
102,은하수,방화동 853,37.5706037,126.806443,3825.8
103,능 말,방화동 815,37.5779295,126.8105941,1520.7
104,메아리,방화동 826,37.5785807,126.8144262,1511.6
105,느 티,방화동 799,37.5793325,126.810334,1512.9
106,돌 샘,방화동 837,37.5760289,126.8188149,1500.3
107,꿈나무,방화동 840,37.5752192,126.8189353,1500.2
108,개 화,방화동 818,37.5802376,126.8125296,1512.2
109,긴 등,공항동 4-36외 12,37.5630699,126.81868,1645.3
110,마곡지구4,공항동 484,37.5647822,126.8191623,2014
112,마곡지구7,공항동 6-18,37.5609927,126.8182838,2658
113,마곡지구8,공항동 705,37.5569786,126.8170219,1945
114,마곡지구3,마곡동 316-1,37.5703025,126.8255468,1494
115,마곡지구6,마곡동 397-1,37.5635087,126.8227388,2864
116,마곡지구1,외발산동 69-1,37.5558477,126.8257646,2000
117,마곡지구2,내발산동 384-2,37.5420139,126.8172392,2066
118,등촌동,등촌동 366-4,37.54956,126.8580608,1538.7
119,방화동,방화동 217-63,37.5663388,126.8154431,1830
