,공원이름,경도,위도,ADDRESS,CODE
0,이 수,126.8743884,37.5482273,서울특별시 강서구 염창동,1150010100
1,백 합1,126.8694446,37.5511175,서울특별시 강서구 염창동,1150010100
2,아리수,126.87388729999999,37.5518186,서울특별시 강서구 염창동,1150010100
3,등 서,126.85472649999998,37.559193,서울특별시 강서구 등촌동,1150010200
4,백 석,126.86344390000001,37.5525628,서울특별시 강서구 등촌동,1150010200
5,등마루,126.8574,37.556003100000005,서울특별시 강서구 등촌동,1150010200
6,도 림,126.8628709,37.5555649,서울특별시 강서구 등촌동,1150010200
7,능 안,126.8598939,37.5465989,서울특별시 강서구 등촌동,1150010200
8,한마음,126.84323700000002,37.5604596,서울특별시 강서구 등촌동,1150010200
9,새나라,126.85202520000001,37.5615284,서울특별시 강서구 등촌동,1150010200
10,백 합2,126.8449854,37.5592351,서울특별시 강서구 등촌동,1150010200
11,채송화,126.8460091,37.562723,서울특별시 강서구 등촌동,1150010200
12,푸르매,126.847508,37.5590299,서울특별시 강서구 등촌동,1150010200
13,새 벗,126.84029,37.560658600000004,서울특별시 강서구 등촌동,1150010200
14,코끼리,126.8485453,37.5631866,서울특별시 강서구 등촌동,1150010200
15,구 름,126.84411609999998,37.54333870000001,서울특별시 강서구 화곡동,1150010300
16,볏 골,126.84435359999999,37.541439000000004,서울특별시 강서구 화곡동,1150010300
17,노 을,126.84393850000001,37.539814899999996,서울특별시 강서구 화곡동,1150010300
18,까치산,126.84446809999999,37.538271200000004,서울특별시 강서구 화곡동,1150010300
19,비둘기1,126.8469591,37.5413239,서울특별시 강서구 화곡동,1150010300
20,큰 별,126.84895130000001,37.54444470000001,서울특별시 강서구 화곡동,1150010300
21,꿈돌이,126.8453625,37.5458702,서울특별시 강서구 화곡동,1150010300
22,소나무,126.84703789999999,37.548623,서울특별시 강서구 화곡동,1150010300
23,박 장,126.84908700000001,37.5406995,서울특별시 강서구 화곡동,1150010300
24,한 글,126.8505037,37.5384851,서울특별시 강서구 화곡동,1150010300
25,효 심,126.84067830000001,37.5295283,서울특별시 강서구 화곡동,1150010300
26,버 들,126.84123259999998,37.5310673,서울특별시 강서구 화곡동,1150010300
27,필 마,126.8387986,37.531456899999995,서울특별시 강서구 화곡동,1150010300
28,다 운,126.8446534,37.5320586,서울특별시 강서구 화곡동,1150010300
29,호돌이,126.84603,37.528187700000004,서울특별시 강서구 화곡동,1150010300
30,곰돌이1,126.84500700000001,37.52952020000001,서울특별시 강서구 화곡동,1150010300
31,솔뫼,126.83859140000001,37.537954,서울특별시 강서구 화곡동,1150010300
32,월정,126.8359941,37.5351479,서울특별시 강서구 화곡동,1150010300
33,초롱,126.8362298,37.5380407,서울특별시 강서구 화곡동,1150010300
34,은행,126.84051470000001,37.5357789,서울특별시 강서구 화곡동,1150010300
35,까치,126.84189479999999,37.5333876,서울특별시 강서구 화곡동,1150010300
36,골 말,126.85612759999998,37.533211,서울특별시 강서구 화곡동,1150010300
37,뜸부기,126.85693429999999,37.530097600000005,서울특별시 강서구 화곡동,1150010300
38,하마터,126.8537386,37.5300684,서울특별시 강서구 화곡동,1150010300
39,바탕골,126.83471189999999,37.5445438,서울특별시 강서구 화곡동,1150010300
40,미리내,126.83475190000001,37.5476464,서울특별시 강서구 화곡동,1150010300
41,수 명,126.834337,37.5408576,서울특별시 강서구 화곡동,1150010300
42,천 사,126.83300249999999,37.546912799999994,서울특별시 강서구 화곡동,1150010300
43,두 레,126.85941310000001,37.5310668,서울특별시 강서구 화곡동,1150010300
44,달 빛,126.8629326,37.5311602,서울특별시 강서구 화곡동,1150010300
45,무지개1,126.86130320000001,37.533928700000004,서울특별시 강서구 화곡동,1150010300
46,능 골,126.85531850000001,37.5366928,서울특별시 강서구 화곡동,1150010300
47,종달새,126.85802140000001,37.5352999,서울특별시 강서구 화곡동,1150010300
48,역 말,126.8489436,37.5497264,서울특별시 강서구 화곡동,1150010300
49,새 말,126.8464756,37.551992799999994,서울특별시 강서구 화곡동,1150010300
50,백 연,126.8519033,37.550664399999995,서울특별시 강서구 화곡동,1150010300
51,배다리,126.8483031,37.5320726,서울특별시 강서구 화곡동,1150010300
52,안 골,126.8507496,37.5359583,서울특별시 강서구 화곡동,1150010300
53,대 무,126.84751440000001,37.537960399999996,서울특별시 강서구 화곡동,1150010300
54,모 태,126.84951540000002,37.5294579,서울특별시 강서구 화곡동,1150010300
55,더부리,126.84676040000001,37.534827299999996,서울특별시 강서구 화곡동,1150010300
56,화곡2-1(가칭),126.8386624,37.5501592,서울특별시 강서구 화곡동,1150010300
57,화곡2-2(가칭),126.8386875,37.5486817,서울특별시 강서구 화곡동,1150010300
58,범바위,126.8413788,37.5431912,서울특별시 강서구 화곡동,1150010300
59,화곡3-1,126.8471024,37.5381184,서울특별시 강서구 화곡동,1150010300
60,화곡3-2,126.8471024,37.5381184,서울특별시 강서구 화곡동,1150010300
61,나들이,126.8442436,37.5717881,서울특별시 강서구 가양동,1150010400
62,아 름,126.8487412,37.5686956,서울특별시 강서구 가양동,1150010400
63,꽃동네,126.84681680000001,37.570168,서울특별시 강서구 가양동,1150010400
64,가양(가칭),126.84479009999998,37.5697553,서울특별시 강서구 가양동,1150010400
