,공원이름,경도,위도,ADDRESS,CODE
0,송파나루,126.79088759999999,37.43565220000001,경기도 시흥시 신천동,4139010200
1,잠 실,127.08416499999998,37.5061814,서울특별시 송파구 잠실동,1171010100
2,삼 전1,127.0925158,37.5027949,서울특별시 송파구 삼전동,1171010600
3,송 파,127.10659709999999,37.514543700000004,서울특별시 송파구 신천동,1171010200
4,방 이,127.113826,37.514399600000004,서울특별시 송파구 방이동,1171011100
5,태 양,127.1153815,37.5254846,서울특별시 송파구 풍납동,1171010300
6,한 양,127.10659709999999,37.514543700000004,서울특별시 송파구 신천동,1171010200
7,동 산,127.10659709999999,37.514543700000004,서울특별시 송파구 신천동,1171010200
8,오 금<시공원>,127.1410405,37.4970053,서울특별시 송파구 거여동,1171011300
9,백 토,127.13210500000001,37.508100799999994,서울특별시 송파구 오금동,1171011200
10,거 여1,127.14098100000001,37.497007399999994,서울특별시 송파구 거여동,1171011300
11,두댐이,127.11084740000001,37.489824799999994,서울특별시 송파구 문정동,1171010800
12,건너말,127.1234732,37.4916031,서울특별시 송파구 가락동,1171010700
13,목 련,127.13884180000001,37.4990346,서울특별시 송파구 오금동,1171011200
14,마 천,127.1454991,37.501467100000006,서울특별시 송파구 마천동,1171011400
15,가 락,127.12529099999999,37.498170200000004,서울특별시 송파구 가락동,1171010700
16,웃 말,127.123126,37.5016593,서울특별시 송파구 가락동,1171010700
17,개 롱,127.130021,37.4934258,서울특별시 송파구 가락동,1171010700
18,아시아,127.075919,37.5106634,서울특별시 송파구 잠실동,1171010100
19,훼밀리,127.1138034,37.49064979999999,서울특별시 송파구 문정동,1171010800
20,숯 내,127.11123119999999,37.4896609,서울특별시 송파구 문정동,1171010800
21,연 화,127.12970200000001,37.485146,서울특별시 송파구 문정동,1171010800
22,송 이,127.10659709999999,37.514543700000004,서울특별시 송파구 신천동,1171010200
23,누에머리,127.1425152,37.503184499999996,서울특별시 송파구 오금동,1171011200
24,풍 납,127.12177949999999,37.5381029,서울특별시 송파구 풍납동,1171010300
25,개나리1,127.10659709999999,37.514543700000004,서울특별시 송파구 신천동,1171010200
26,매미,127.10659709999999,37.514543700000004,서울특별시 송파구 신천동,1171010200
27,부리,127.08429450000001,37.506127299999996,서울특별시 송파구 잠실동,1171010100
28,뽕나무,127.10659709999999,37.514543700000004,서울특별시 송파구 신천동,1171010200
29,새내,127.10462530000001,37.5205154,서울특별시 송파구 신천동,1171010200
30,하늘가람,127.1094588,37.5211214,서울특별시 송파구 신천동,1171010200
31,온조마루,127.1103899,37.520545399999996,서울특별시 송파구 신천동,1171010200
32,글 샘,127.1238462,37.4851331,서울특별시 송파구 문정동,1171010800
33,한우물,127.1238462,37.4851331,서울특별시 송파구 문정동,1171010800
34,글샘작은,127.1238462,37.4851331,서울특별시 송파구 문정동,1171010800
35,장 수,127.1307288,37.481343200000005,서울특별시 송파구 장지동,1171010900
36,널 문,127.15711270000001,37.4984914,서울특별시 송파구 마천동,1171011400
37,문 정,127.12999620000001,37.4870875,서울특별시 송파구 문정동,1171010800
38,장 지<시공원>,127.13658500000001,37.490265,서울특별시 송파구 장지동,1171010900
39,문정 법조단지 근린공원1,127.1238462,37.4851331,서울특별시 송파구 문정동,1171010800
40,새마을,127.086537,37.508412799999995,서울특별시 송파구 잠실동,1171010100
