명칭,위도,경도
포레스트한방병원-1,37.51170086,127.109608
재단법인자생의료재단잠실자생한방병원-1,37.51510876,127.1072489
경찰병원-1,37.49651468,127.1233597
강남힘찬병원-1,37.50759206,127.1098849
의료법인마리아의료재단마리아병원-1,37.49321591,127.1244286
뉴스타트병원-1,37.49911348,127.119485
강남수병원-1,37.50343877,127.0876107
포레힐요양병원-1,37.50972374,127.1138239
시그마치과병원-1,37.51454531,127.1024749
한솔병원-1,37.50605495,127.1058903
의료법인정애의료재단서울초이스병원-1,37.53367386,127.1212931
서울병원-1,37.50392848,127.1247176
수치과병원-1,37.49156611,127.1164427
인애가송파한방병원-1,37.48726393,127.1294957
재단법인아산사회복지재단 서울아산병원-1,37.52633294,127.109697
강남센트럴요양병원-1,37.49306252,127.1246432
서재곤링커병원-1,37.50947311,127.1120818
송파새희망요양병원-1,37.49346552,127.1429287
민트병원-1,37.48620567,127.1159144
자닮인요양병원-1,37.49877019,127.1204005
혜민안과병원-1,37.49381313,127.1219418
올림픽병원-1,37.502755,127.0980031
의료법인일맥의료재단 인애가요양병원-1,37.50525962,127.1351586
의료법인참예원의료재단 송파참노인전문병원-1,37.50354515,127.1374174
서울석병원-1,37.49374796,127.1239884
케이치과병원-1,37.51575896,127.1055758
드림요양병원-1,37.49671413,127.1221613
선수촌병원-1,37.51155358,127.0792049
송파미소병원-1,37.49322768,127.1458909
(本)본브릿지병원-1,37.51525959,127.0995123
더사랑요양병원-1,37.50053803,127.1432021
빠른병원-1,37.50744807,127.1097037
서울힐링요양병원-1,37.49906204,127.1257274
더바름치과병원-1,37.51073787,127.0862052
송파그랜드요양병원-1,37.49964535,127.1437772
김진섭정형외과의원-1,37.5119635,127.1265065
서울민치과의원-1,37.51171533,127.1134197
송파구제한의원-1,37.49904633,127.1473496
연세쿰내과의원-1,37.48862088,127.1153753
서울행복한치과의원-1,37.50381616,127.0890135
본디올동의한의원-1,37.49482412,127.1517742
오렌지정형외과의원-1,37.49781226,127.1471097
정경철치과의원-1,37.49348201,127.1441952
김동건피부과의원-1,37.50904531,127.1255177
새한치과의원-1,37.50468432,127.1071437
잠실연세가정의학과의원-1,37.51248048,127.093333
유진영치과의원-1,37.50700169,127.1050999
장현정산부인과의원-1,37.5264244,127.1177519
서종내과의원-1,37.50485498,127.0853278
위드정신건강의학과의원-1,37.50580241,127.106184
신안과의원-1,37.5063561,127.1208875
송파길신경외과의원-1,37.51336008,127.1176411
우비뇨기과의원-1,37.49286831,127.1450421
방이덴토피아치과의원-1,37.50872867,127.1267387
연세메디칼내과의원-1,37.50356092,127.113826
오정석경희한의원-1,37.50565319,127.0903615
조아안과의원-1,37.49831029,127.1207843
행복한서내과의원-1,37.49804772,127.1461376
서아송피부과의원-1,37.51139815,127.082564
신재식마취통증의학과의원-1,37.49284175,127.1446576
선한의원-1,37.51073787,127.0862052
가락연세치과의원-1,37.49428586,127.117736
백삼한의원-1,37.50263431,127.1123205
하나치과의원-1,37.51157022,127.1144149
방이내과의원-1,37.51262839,127.1195402
e-하얀치과의원-1,37.496781,127.1183731
연세이안과의원-1,37.49607417,127.1309129
최원준내과의원-1,37.51198064,127.0870436
함춘치과의원-1,37.50714943,127.1290772
강플러스내과의원-1,37.49627797,127.1491988
남치과의원-1,37.50499957,127.0847172
우리치과의원-1,37.49284175,127.1446576
굿모닝치과의원-1,37.51771796,127.1011217
문앤박산부인과의원-1,37.51108979,127.0854591
백상기의원-1,37.52891154,127.1173485
김은수치과의원-1,37.50578338,127.1073262
전안과의원-1,37.50168265,127.1086436
한빛치과의원-1,37.51768164,127.101461
탁스치과의원-1,37.50609416,127.1215318
양서현한의원-1,37.53724139,127.1216948
김정자산부인과의원-1,37.50764345,127.102737
토성의원-1,37.53465696,127.1202877
이충섭한의원-1,37.49999251,127.1044343
윤경재한의원-1,37.51749282,127.100997
이은희소아과의원-1,37.5065652,127.0742686
웰치과의원-1,37.50673051,127.1158326
에스준의원-1,37.50660411,127.1064
강덕수한의원-1,37.51108347,127.0939307
이종철치과의원-1,37.50569224,127.1180025
황정섭치과의원-1,37.4958033,127.1314326
인화당한의원-1,37.50491819,127.0851356
정세현치과의원-1,37.4979328,127.1366609
씨디아이씨시카고치과의원-1,37.51100657,127.1282581
가야치과의원-1,37.50578277,127.1264058
이편한치과의원-1,37.49173601,127.117766
금성한의원-1,37.49831029,127.1207843
닥터스마일의원-1,37.49676703,127.1317396
휴아이안과의원-1,37.51124318,127.09703
임문우치과교정과치과의원-1,37.51326461,127.1229797
가락한의원-1,37.49504338,127.1170474
김성태한의원-1,37.5063561,127.1208875
가인치과교정과치과의원-1,37.51124318,127.09703
성모자애의원-1,37.50311997,127.1132599
연세새봄의원-1,37.50860453,127.0833301
김용상치과의원-1,37.51248048,127.093333
로데오치과의원-1,37.49071129,127.1242775
오륜곽치과의원-1,37.51410941,127.1333759
그랜드피부과의원-1,37.49282348,127.1448611
전우현한의원-1,37.50337355,127.0905171
코아한의원-1,37.49156611,127.1164427
소솜피부과의원-1,37.51073787,127.0862052
허인식치과의원-1,37.51198064,127.0870436
