iter	RMSE
0	0.2757195945
1	0.2662028171
2	0.2578143447
3	0.2501157249
4	0.2434299717
5	0.2374856292
6	0.2323532975
7	0.2273985742
8	0.2230151557
9	0.2194226503
10	0.2159771904
11	0.2127448009
12	0.2098811323
13	0.2074620664
14	0.2052840213
15	0.2033366904
16	0.2013978667
17	0.1998965743
18	0.1983937389
19	0.1969542773
20	0.1956868462
21	0.1945000731
22	0.1934009289
23	0.1923699609
24	0.1913452411
25	0.1905016845
26	0.1898048473
27	0.1890300707
28	0.1883267308
29	0.1877793487
30	0.187084547
31	0.1864056966
32	0.1857824724
33	0.1852516553
34	0.18467135
35	0.1840542547
36	0.1834052724
37	0.1830743536
38	0.1826813031
39	0.1822452631
40	0.1818257823
41	0.1814332227
42	0.1809514342
43	0.1807070302
44	0.180358612
45	0.1800971678
46	0.1797552335
47	0.1794615026
48	0.1790840748
49	0.1787180342
50	0.1783905733
51	0.1780567452
52	0.177826595
53	0.1773641211
54	0.1770922212
55	0.1769208727
56	0.1765671078
57	0.176319174
58	0.1761906262
59	0.1758684434
60	0.1756172441
61	0.1753533685
62	0.1750754318
63	0.1748237321
64	0.1746293017
65	0.1745426655
66	0.1743112169
67	0.1741563247
68	0.1739135232
69	0.1735496188
70	0.173300237
71	0.1731143434
72	0.172982942
73	0.1727925589
74	0.172528037
75	0.1723146073
76	0.1719523895
77	0.1718090181
78	0.171755989
79	0.1714849623
80	0.1713642678
81	0.1711947175
82	0.1711160552
83	0.1710213535
84	0.1709066901
85	0.1706992379
86	0.1704210188
87	0.1701865386
88	0.1700564965
89	0.1698869323
90	0.1698067181
91	0.1696100326
92	0.1695750052
93	0.1692601144
94	0.1690470165
95	0.168863566
96	0.1685240747
97	0.1684213435
98	0.1682607868
99	0.1681064113
100	0.1679348899
101	0.1678228552
102	0.167760045
103	0.1675731182
104	0.1673418638
105	0.1670886969
106	0.1669019387
107	0.1667815708
108	0.1667283556
109	0.1663855521
110	0.1662573488
111	0.1659646067
112	0.1658405206
113	0.1657809041
114	0.1656393137
115	0.1653956184
116	0.1653535406
117	0.1651359865
118	0.1649096221
119	0.164640251
120	0.1644834842
121	0.1642457704
122	0.1641111055
123	0.1638044981
124	0.1636130918
125	0.1633411675
126	0.1630244438
127	0.162793981
128	0.1624588569
129	0.1622126267
130	0.1620948351
131	0.1618958191
132	0.1618019455
133	0.1615877759
134	0.161323583
135	0.1612111031
136	0.1610680897
137	0.1608170517
138	0.1605212146
139	0.1603509066
140	0.1603066972
141	0.1600391178
142	0.159967121
143	0.1598509079
