iter	Passed	Remaining
0	56	56160
1	73	36804
2	128	42680
3	152	37970
4	204	40648
5	267	44244
6	330	46947
7	380	47139
8	421	46458
9	462	45825
10	531	47754
11	560	46135
12	601	45691
13	636	44814
14	677	44495
15	730	44901
16	765	44287
17	798	43589
18	825	42613
19	847	41523
20	897	41837
21	935	41568
22	964	40951
23	996	40531
24	1029	40136
25	1055	39538
26	1112	40085
27	1148	39864
28	1186	39721
29	1209	39108
30	1242	38822
31	1267	38347
32	1295	37965
33	1327	37705
34	1359	37493
35	1390	37223
36	1431	37247
37	1462	37032
38	1505	37086
39	1540	36981
40	1569	36713
41	1604	36608
42	1640	36516
43	1682	36561
44	1717	36456
45	1743	36163
46	1778	36070
47	1805	35802
48	1846	35840
49	1876	35646
50	1911	35564
51	1933	35248
52	1976	35315
53	2006	35152
54	2026	34820
55	2100	35404
56	2145	35493
57	2181	35428
58	2214	35325
59	2252	35286
60	2286	35193
61	2315	35026
62	2347	34910
63	2389	34942
64	2425	34886
65	2459	34805
66	2492	34704
67	2548	34922
68	2567	34647
69	2603	34584
70	2641	34557
71	2670	34421
72	2704	34345
73	2742	34317
74	2772	34200
75	2803	34090
76	2842	34073
77	2875	33990
78	2912	33949
79	2940	33815
80	2965	33647
81	2995	33532
82	3018	33345
83	3072	33509
84	3113	33515
85	3141	33390
86	3171	33286
87	3203	33195
88	3238	33144
89	3274	33106
90	3315	33117
91	3358	33150
92	3384	33011
93	3410	32867
94	3428	32657
95	3457	32560
96	3491	32505
97	3519	32396
98	3551	32325
99	3585	32265
100	3613	32166
101	3635	32009
102	3669	31954
103	3706	31934
104	3745	31928
105	3774	31832
106	3810	31798
107	3841	31725
108	3875	31681
109	3908	31623
110	3943	31583
111	3970	31480
112	4003	31428
113	4039	31395
114	4086	31451
115	4119	31394
116	4149	31318
117	4181	31254
118	4213	31195
119	4242	31113
120	4269	31013
121	4297	30929
122	4318	30794
123	4398	31073
124	4451	31162
125	4486	31121
126	4521	31080
127	4561	31073
128	4593	31012
129	4629	30983
130	4653	30867
131	4674	30737
132	4696	30612
133	4722	30521
134	4747	30418
135	4782	30380
136	4809	30299
137	4825	30141
138	4862	30119
139	4883	30000
140	4903	29870
141	4930	29789
142	4944	29633
143	4969	29543
144	4997	29470
145	5026	29399
146	5047	29292
147	5080	29246
148	5102	29139
149	5118	29005
150	5135	28874
151	5171	28850
152	5204	28810
153	5231	28737
154	5263	28695
155	5315	28755
156	5335	28649
157	5365	28592
158	5408	28608
159	5442	28573
160	5472	28519
161	5510	28505
162	5548	28491
163	5573	28412
164	5588	28283
165	5609	28183
166	5649	28179
167	5667	28067
168	5695	28003
169	5721	27934
170	5752	27885
171	5785	27850
172	5815	27797
173	5841	27731
174	5879	27715
175	5913	27688
176	5957	27701
177	5988	27652
178	6027	27646
179	6056	27591
180	6091	27560
181	6126	27534
182	6155	27481
183	6183	27423
184	6209	27356
185	6243	27322
186	6261	27221
187	6293	27184
188	6324	27136
189	6351	27077
190	6376	27007
191	6407	26964
192	6432	26898
193	6462	26850
194	6494	26812
195	6525	26769
196	6560	26740
197	6586	26680
198	6614	26626
199	6646	26587
200	6675	26535
201	6711	26513
202	6742	26472
203	6767	26406
204	6794	26348
205	6814	26266
206	6841	26210
207	6864	26139
208	6888	26069
209	6914	26010
210	6939	25948
211	6974	25922
212	6998	25858
213	7032	25828
214	7065	25797
215	7094	25749
216	7135	25748
217	7173	25734
218	7199	25674
219	7225	25618
220	7244	25534
221	7270	25479
222	7291	25406
223	7315	25341
224	7346	25305
225	7373	25251
226	7409	25231
227	7438	25187
228	7479	25182
229	7506	25131
230	7541	25104
231	7567	25052
232	7592	24993
233	7615	24930
234	7655	24922
235	7676	24850
236	7707	24813
